day_range,workstream,activity,output,owner,exit_check
1-2,AI Ops,Inventory active and planned AI workflows,Workflow inventory,Operations lead,Each workflow has an owner
3-5,AI Ops,Complete control matrix for priority workflows,Control matrix,Workflow owners,Data boundary and approval point are written
6-7,AI Ops,Run risk checklist and evidence log,Checklist and evidence notes,Security owner,Stop conditions are plain and actionable
8-10,AI Ops,Convert gaps into operating actions,10-day plan and backlog,Project lead,Go or pause decision is documented
11-12,RFP Radar,Map public sources and allowed use,Source map,Proposal lead,Every source has a review cadence
13-14,RFP Radar,Build keyword tracker by theme and geography,Keyword tracker,Sales operations,Priority keywords have reasons
15-17,RFP Radar,Run weekly review and score opportunities,Weekly review and scorecard,Proposal lead,Next action is set for each signal
18-20,Reception AI,Map inquiry types and allowed AI actions,Inquiry map,Reception lead,Prohibited actions are visible
21-23,Reception AI,Write fallback rules and dry-run scenarios,Fallback rules and pilot script,Operations lead,Human fallback owner is named
24-26,Reception AI,Run operator review log on sample cases,Review log,Reception lead,Corrections are marked before pilot expansion
27-28,Cross-workflow,Compare unresolved gaps across all kits,Gap comparison,Project lead,Highest-risk workflow is identified
29,Cross-workflow,Prepare operating baseline summary,Summary note,Operations lead,Owners agree on next internal decision
30,Cross-workflow,Decide next workflow expansion or pause,Go or pause note,Executive owner,Decision is documented without private logs
